ID,Name,Reference,Type,Latitude,Longitude,Phone,Opening From,Opening To,Inventory End Of Day Time,Receipt Header,Address,City,District,Postal Code,Street Name,Building Number,Additional Number,Created At,Updated At,Receives Online Orders,Accepts Reservations
9874dc10-0ef3-4726-b7e6-bbe5a0c6be05,Al Olyaa - العليا,B13,1,21.747426,39.148079,553218075,04:00,03:00,03:00,,العليا,جده,العليا,21442,العليا,1218,2351,2023-02-13 08:25:56,2024-06-03 14:47:54,true,false
98bfb960-fe44-4adb-8162-69f1717ed0ff,Duaar Aljamal - دوار الجمل,B14,1,21.765124,39.141118,556574212,04:00,03:00,03:00,,ابحر,جده,ابحر,21442,ابحر,1214,2351,2023-03-22 13:36:03,2024-06-03 14:50:27,true,false
98bfb976-5f8f-407a-aa8f-798706d49df4,شبك المطار - Shabak Almatar,B15,1,21.633438,39.16396,508771944,04:00,03:00,03:00,,المطار,جده,المطار,21442,المطار,1214,2351,2023-03-22 13:36:17,2024-06-03 14:48:10,true,false
98bfb984-9042-4897-9120-3b3a8de18991,فرع الشعله -Alshaeluh,B16,1,21.535841,39.178316,556544383,04:00,03:00,03:00,,الشعله,جده,الشعله,21442,الشعله,1211,2351,2023-03-22 13:36:26,2024-06-03 14:49:59,true,false
99623167-0084-4655-b6d4-a4e6f56e37d7,فعاليات,B34,1,21.583421,39.109869,549699260,07:00,03:00,03:00,,جده,جده,الملك,21442,الملك,1218,2351,2023-06-11 07:55:46,2024-12-17 12:23:15,true,false
99623174-3620-4c63-91b9-fbefdca85571,Makah  - فرع مكه,B18,1,21.382029,39.872824,535311307,06:00,03:00,03:00,,مكه -النسيم,مكه,النسيم,21442,النسيم,1216,2351,2023-06-11 07:55:55,2024-06-04 11:29:11,true,false
99623180-3a44-4fef-80b3-c75e51ceba41,Al Salama  -السلامه,B19,1,21.588181,39.162755,556519166,04:00,03:00,03:00,,السلامه,جده,السلامه,21442,السلامه,1214,2351,2023-06-11 07:56:03,2024-06-03 14:48:34,true,false
9a5399ab-005f-473b-b0a9-c71e2bdd4873,Al Rawada -الروضه,B20,1,21.573206,39.157892,556526531,04:00,03:00,03:00,,الروضه,جده,الروضه,21422,الروضه,1207,2351,2023-10-09 08:01:50,2024-06-03 14:49:07,true,false
9a5399bb-235a-4ad9-86e9-5e6af07c8a2f,Al Safa  -الصفا,B21,1,21.60092,39.223434,556549615,04:00,03:00,03:00,,الصفا,جده,جده,21442,الصفا,1212,2351,2023-10-09 08:02:01,2024-06-03 14:49:48,true,false
9abca34c-db98-4d01-a737-624fa404b101,الفاعليات- سيتي ووك,B36,1,22.238692,39.352195,541201344,06:00,05:00,02:00,,الامير سلطان,جده,المحمديه,12648,المحمديه,1269,1478,2023-11-30 13:10:42,2024-09-10 08:40:02,true,false
9af0eded-0be4-4709-b888-1503d06515fc,Red sea Mall -ردسي مول,B26,1,21.628357,39.110955,556507791,06:00,03:00,03:00,,الردسي مول,جده,الردسي,21442,الملك,1208,2351,2023-12-26 13:02:25,2024-06-03 14:46:19,true,false
9af0edf9-9702-47b1-93f6-8ca95808d23f,Al Manar Drive True - المنار,B27,1,21.601562,39.224709,556509723,04:00,03:00,03:00,,المنار,جده,المنار,21442,المنار,1208,2351,2023-12-26 13:02:33,2024-06-04 12:18:15,true,false
9b1f65d7-aa2e-496c-bfa3-1d0a4d471670,Al-Rahili -الرحيلي,B28,1,21.794649,39.12499,532894088,04:00,03:00,03:00,,الرحيلي,جده,جده,21442,الرحيلي,1204,2351,2024-01-18 15:25:49,2024-06-03 14:47:43,true,false
9b1f65e1-7b92-40f3-9a10-59519dedf9f6,U Walk - يو ووك,B29,1,21.584224,39.139936,556576362,06:00,03:00,03:00,,اليووك,جده,الملك,21442,يووك,1204,2351,2024-01-18 15:25:55,2024-06-03 14:46:34,true,false
9b576e9b-ee76-4797-8954-8e7134f103cf,Al-Bawadi -البوادي,B30,1,21.60092,39.223434,556519166,04:00,03:00,03:00,,جده البوادي,جده,جده,21442,البوادي,1201,2351,2024-02-15 11:56:41,2024-06-03 14:59:14,true,false
9b576ea9-7cc2-41a6-bae1-d54919a2f308,Sari -صاري,B31,1,21.588181,39.162755,556536034,04:00,03:00,03:00,,جده -السلامه,جده,السلامه,12450,صاري,1224,1348,2024-02-15 11:56:50,2024-06-03 14:48:58,false,false
9b9c021f-167a-42dc-a0b6-ad23562031aa,Al Jamjom - الجمجوم,B32,1,21.521817616124,39.156221628836,556536034,04:00,03:00,03:00,,شارع فلسطين، الحمراء، جدة 23321,جده,al hamra,12475,Al Hamara,1245,1448,2024-03-20 14:05:27,2024-12-17 12:34:13,true,false
9da70892-69d5-47fb-9191-9946713fa21b,Construction City -مدينه البناء,B33,1,21.619627,39.154835,568219868,04:00,03:00,03:00,,J593+XWJ، النزهة، جدة 23532,جده,النزهه,12340,النزهه,1315,1314,2024-12-05 14:01:29,2024-12-18 08:19:45,true,false
